fips,County Population,Total Elderly Count,Elderly per Capita,Maskless per Capita,ICU Beds,Rate of Change,Density per square mile
05001,17486,3551,0.203076747111975,0.019,0,11.0,19.2
05003,19657,4116,0.209391056621051,0.023,6,12.97,23.6
05005,41932,13058,0.31140894782028,0.15,17,20.32,74.9
05007,279141,37902,0.135780841940095,0.081,30,176.45,261.2
05009,37432,7841,0.209473178029493,0.129,24,23.87,62.5
05011,10763,2070,0.192325559788163,0.094,0,13.68,17.7
05013,5189,1139,0.219502794372712,0.145,0,2.61,8.5
05015,28380,6772,0.23861874559549,0.111,0,19.68,43.6
05017,10118,2136,0.211108914805297,0.104,0,6.94,18.3
05019,22320,3753,0.168145161290323,0.08,0,17.1,26.6
05021,14551,3182,0.218679128582228,0.082,0,13.0,25.2
05023,24919,6790,0.272482844415908,0.036,0,15.61,46.9
05025,7956,1705,0.214303670186023,0.107,0,6.19,14.5
05027,23457,4160,0.177345781643006,0.241,6,14.19,32.1
05029,20846,4113,0.1973040391442,0.071,0,19.71,38.5
05031,110332,15424,0.139796251314215,0.078,66,91.68,136.4
05033,63257,10849,0.171506710719762,0.155,8,42.74,104.4
05035,47955,6960,0.145136065060995,0.059,0,33.26,83.5
05037,16419,3167,0.192886290273464,0.097,0,16.55,29.0
05039,7009,1710,0.243972035953774,0.197,0,5.77,12.2
05041,11361,2227,0.19602147698266,0.078,0,12.23,16.9
05043,18219,3316,0.182007794061145,0.063,5,22.1,22.3
05045,126007,16195,0.12852460577587,0.066,25,87.45,174.8
05047,17715,3534,0.199491955969517,0.149,0,9.19,29.8
05049,12477,3249,0.260399134407309,0.105,0,10.42,19.8
05051,99386,24144,0.242931600024148,0.025,41,60.39,141.7
05053,18265,3372,0.184615384615385,0.082,0,14.42,28.3
05055,45325,7372,0.162647545504688,0.062,8,44.74,72.9
05057,21532,3982,0.184934051644065,0.098,8,10.9,31.1
05059,33771,6531,0.1933907790708,0.059,6,22.0,53.5
05061,13202,2386,0.180730192395092,0.081,0,8.71,23.4
05063,37825,6791,0.179537343027098,0.137,12,20.19,48.0
